0300000000,0000000010,HT-1000,,EUR,1137.64,956,181.64,1,EA,20121204
0300000000,0000000020,HT-1091,,EUR,61.88,52,9.88,2,EA,20121204
0300000000,0000000030,HT-6100,,EUR,1116.22,938,178.22,2,EA,20121204
0300000000,0000000040,HT-1000,,EUR,2275.28,1912,363.28,2,EA,20121204
0300000000,0000000050,HT-1091,,EUR,92.82,78,14.82,3,EA,20121204
0300000000,0000000060,HT-6100,,EUR,1116.22,938,178.22,2,EA,20121204
0300000000,0000000070,HT-1000,,EUR,2275.28,1912,363.28,2,EA,20121204
0300000000,0000000080,HT-1091,,EUR,61.88,52,9.88,2,EA,20121204
0300000000,0000000090,HT-6100,,EUR,1674.33,1407,267.33,3,EA,20121204
0300000000,0000000100,HT-1000,,EUR,3412.92,2868,544.92,3,EA,20121204
0300000001,0000000010,HT-1100,,USD,213.96,179.8,34.16,2,EA,20121204
0300000001,0000000020,HT-2026,,USD,35.69,29.99,5.7,1,EA,20121204
0300000001,0000000030,HT-1002,,USD,3736.6,3140,596.6,2,EA,20121204
0300000001,0000000040,HT-1100,,USD,213.96,179.8,34.16,2,EA,20121204
0300000001,0000000050,HT-2026,,USD,71.38,59.98,11.4,2,EA,20121204
0300000001,0000000060,HT-1002,,USD,3736.6,3140,596.6,2,EA,20121204
0300000001,0000000070,HT-1100,,USD,320.94,269.7,51.24,3,EA,20121204
0300000001,0000000080,HT-2026,,USD,107.06,89.97,17.09,3,EA,20121204
0300000001,0000000090,HT-1002,,USD,3736.6,3140,596.6,2,EA,20121204
0300000001,0000000100,HT-1100,,USD,320.94,269.7,51.24,3,EA,20121204
0300000002,0000000010,HT-2000,,EUR,892.46,749.97,142.49,3,EA,20121204
0300000002,0000000020,HT-1010,,EUR,2378.81,1999,379.81,1,EA,20121204
0300000002,0000000030,HT-1103,,EUR,183.26,154,29.26,2,EA,20121204
0300000002,0000000040,HT-2000,,EUR,594.98,499.98,95,2,EA,20121204
0300000002,0000000050,HT-1010,,EUR,2378.81,1999,379.81,1,EA,20121204
0300000002,0000000060,HT-1103,,EUR,183.26,154,29.26,2,EA,20121204
0300000002,0000000070,HT-2000,,EUR,297.49,249.99,47.5,1,EA,20121204
0300000002,0000000080,HT-1010,,EUR,4757.62,3998,759.62,2,EA,20121204
0300000003,0000000010,HT-1104,,JPY,196.35,165,31.35,3,EA,20121204
0300000003,0000000020,HT-1603,,JPY,6069,5100,969,3,EA,20121204
0300000003,0000000030,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,20121204
0300000003,0000000040,HT-1104,,JPY,65.45,55,10.45,1,EA,20121204
